epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2774.1,1.42732,0.6388,1.1699,0.94698,0.89713,0.93918,0.5011,1.45249,0.56182,1.2629,0.00110314,0.00110314,0.00110314
43,2865.57,1.43413,0.63925,1.16924,0.91951,0.9017,0.93207,0.49698,1.43454,0.55966,1.26183,0.00108938,0.00108938,0.00108938
44,2939.42,1.42801,0.63895,1.15968,0.94881,0.88818,0.93106,0.50593,1.43545,0.57219,1.25578,0.00107563,0.00107563,0.00107563
45,3020.07,1.4633,0.65202,1.17251,0.95439,0.88158,0.93329,0.48549,1.5698,0.60386,1.33434,0.00106188,0.00106188,0.00106188
46,3101.05,1.42745,0.634,1.15457,0.93482,0.8943,0.93679,0.51302,1.42923,0.56437,1.25358,0.00104813,0.00104813,0.00104813
47,3157.18,1.45135,0.63833,1.17094,0.93707,0.86635,0.91911,0.4485,1.56727,0.61119,1.31902,0.00103437,0.00103437,0.00103437
48,3212.91,1.42559,0.63915,1.17194,0.94572,0.86473,0.92397,0.5006,1.44226,0.5782,1.26611,0.00102062,0.00102062,0.00102062
49,3268.73,1.44137,0.64129,1.17442,0.95305,0.88052,0.93432,0.50164,1.43046,0.55817,1.251,0.00100687,0.00100687,0.00100687
50,3324.58,1.4357,0.63513,1.16205,0.95347,0.89128,0.93671,0.52028,1.40927,0.53905,1.24081,0.000993115,0.000993115,0.000993115
51,3380.74,1.41204,0.62035,1.14682,0.93588,0.8983,0.93289,0.50907,1.40464,0.56082,1.227,0.000979362,0.000979362,0.000979362
52,3436.55,1.40519,0.62029,1.14608,0.94982,0.88202,0.93469,0.49547,1.42375,0.55074,1.24035,0.00096561,0.00096561,0.00096561
53,3492.33,1.42712,0.63556,1.1549,0.92528,0.89371,0.93647,0.50415,1.51471,0.58316,1.30278,0.000951857,0.000951857,0.000951857
54,3548.08,1.40869,0.62725,1.16455,0.95084,0.88792,0.9393,0.51228,1.44997,0.56223,1.26444,0.000938104,0.000938104,0.000938104
55,3604.32,1.42928,0.62453,1.1619,0.9408,0.88623,0.93578,0.50138,1.45311,0.55572,1.2622,0.000924352,0.000924352,0.000924352
56,3659.76,1.38959,0.6074,1.14952,0.93633,0.88608,0.93299,0.51297,1.41105,0.54737,1.23221,0.000910599,0.000910599,0.000910599
57,3744.26,1.39519,0.60767,1.15172,0.94848,0.87861,0.93436,0.50891,1.45296,0.55268,1.25677,0.000896846,0.000896846,0.000896846
58,3800.9,1.39235,0.60386,1.15483,0.94525,0.89356,0.94033,0.51682,1.43117,0.54549,1.24727,0.000883093,0.000883093,0.000883093
59,3862.75,1.39678,0.61075,1.13253,0.92873,0.90644,0.9432,0.51989,1.44095,0.54181,1.25931,0.00086934,0.00086934,0.00086934
60,3925.43,1.40687,0.61635,1.14735,0.95584,0.89628,0.94391,0.51093,1.44997,0.53906,1.26839,0.000855588,0.000855588,0.000855588
61,3981.52,1.39542,0.60518,1.14554,0.95243,0.88851,0.94016,0.51595,1.43115,0.54237,1.24929,0.000841835,0.000841835,0.000841835
62,4037.27,1.38269,0.59923,1.15148,0.95381,0.89178,0.94629,0.52647,1.4306,0.53873,1.25002,0.000828082,0.000828082,0.000828082
63,4093.46,1.37924,0.59187,1.13496,0.94088,0.8977,0.94113,0.50871,1.45594,0.5497,1.26653,0.000814329,0.000814329,0.000814329
64,4149.26,1.37344,0.59247,1.12717,0.94587,0.90747,0.94773,0.51657,1.41035,0.53692,1.23969,0.000800577,0.000800577,0.000800577
65,4205.36,1.38503,0.60175,1.14329,0.95024,0.89088,0.93128,0.50286,1.46223,0.55279,1.26257,0.000786824,0.000786824,0.000786824
66,4261.09,1.39081,0.59692,1.13925,0.95085,0.89186,0.94312,0.51629,1.42523,0.53968,1.24432,0.000773071,0.000773071,0.000773071
67,4317.3,1.3749,0.58951,1.12323,0.95221,0.90946,0.94537,0.50624,1.46965,0.54232,1.26489,0.000759318,0.000759318,0.000759318
68,4373.07,1.35504,0.57979,1.11716,0.95438,0.88586,0.93982,0.52194,1.428,0.54135,1.24643,0.000745566,0.000745566,0.000745566
69,4429.2,1.35793,0.58723,1.11811,0.94786,0.88779,0.94043,0.49943,1.46195,0.55529,1.27135,0.000731813,0.000731813,0.000731813
70,4485,1.37034,0.59034,1.12361,0.94747,0.89948,0.94415,0.51467,1.40276,0.53343,1.22768,0.00071806,0.00071806,0.00071806
71,4540.77,1.3621,0.59174,1.12712,0.95185,0.88823,0.94722,0.49836,1.47092,0.54053,1.26952,0.000704307,0.000704307,0.000704307
72,4596.51,1.36376,0.58158,1.12835,0.93364,0.89421,0.93348,0.4827,1.56081,0.56445,1.32414,0.000690555,0.000690555,0.000690555
73,4652.57,1.33468,0.5702,1.12119,0.95542,0.90247,0.95067,0.52187,1.40519,0.52289,1.23188,0.000676802,0.000676802,0.000676802
74,4708.41,1.3463,0.57314,1.11514,0.9543,0.89407,0.94269,0.51723,1.40698,0.52592,1.23494,0.000663049,0.000663049,0.000663049
75,4764.2,1.34752,0.57842,1.10847,0.93236,0.89827,0.94452,0.5073,1.47625,0.53069,1.27563,0.000649297,0.000649297,0.000649297
76,4819.92,1.35035,0.5857,1.11889,0.94688,0.89608,0.9438,0.50986,1.45728,0.53663,1.26173,0.000635544,0.000635544,0.000635544
77,4876.07,1.33896,0.56892,1.11415,0.95722,0.89902,0.9496,0.5092,1.44701,0.53193,1.26939,0.000621791,0.000621791,0.000621791
78,4931.91,1.34195,0.56989,1.12446,0.95976,0.89488,0.94724,0.50806,1.49661,0.53803,1.28756,0.000608038,0.000608038,0.000608038
79,4987.68,1.33548,0.55979,1.1191,0.94992,0.89503,0.94235,0.51042,1.46054,0.54094,1.26813,0.000594286,0.000594286,0.000594286
80,5043.42,1.3341,0.56906,1.10935,0.93931,0.90968,0.94553,0.52235,1.42244,0.52638,1.24691,0.000580533,0.000580533,0.000580533
